@relation PartidosBeis

@attribute Dia numeric
@attribute Mes numeric
@attribute Liga {Nacional,Americana}
@attribute 'Equipo 1' {Dodgers,Bravos,Cardenales}
@attribute 'Equipo 2' {Yankees,Astros,Piratas}
@attribute Ganador {Dodgers,Bravos,Cardenales,Yankees,Astros,Piratas}
@attribute 'Carrera Equipo 1' numeric
@attribute 'Carrera Equipo 2' numeric

@data
1,4,Nacional,Dodgers,Piratas,Piratas,2,5
1,4,Nacional,Cardenales,Astros,Cardenales,9,7
1,4,Nacional,Bravos,Yankees,Yankees,1,6
2,4,Nacional,Dodgers,Astros,Dodgers,6,4
2,4,Nacional,Bravos,Yankees,Yankees,3,9
2,4,Nacional,Cardenales,Piratas,Cardenales,6,3
3,4,Nacional,Dodgers,Yankees,Yankees,3,10
3,4,Nacional,Cardenales,Astros,Astros,3,4
3,4,Nacional,Bravos,Piratas,Bravos,8,3
5,4,Americana,Cardenales,Yankees,Yankees,1,5
5,4,Americana,Dodgers,Piratas,Dodgers,10,6
5,4,Americana,Bravos,Astros,Bravos,8,6
6,4,Americana,Dodgers,Astros,Astros,1,3
6,4,Americana,Cardenales,Piratas,Cardenales,6,1
6,4,Americana,Bravos,Yankees,Bravos,10,0
7,4,Americana,Cardenales,Piratas,Piratas,1,7
7,4,Americana,Bravos,Yankees,Yankees,3,8
7,4,Americana,Dodgers,Astros,Dodgers,2,1
9,4,Nacional,Dodgers,Astros,Astros,1,5
9,4,Nacional,Bravos,Piratas,Bravos,10,7
9,4,Nacional,Cardenales,Yankees,Cardenales,9,3
10,4,Nacional,Dodgers,Astros,Dodgers,8,0
10,4,Nacional,Cardenales,Yankees,Cardenales,7,2
10,4,Nacional,Bravos,Piratas,Bravos,8,5
11,4,Nacional,Cardenales,Astros,Cardenales,5,2
11,4,Nacional,Dodgers,Piratas,Dodgers,9,8
11,4,Nacional,Bravos,Yankees,Yankees,5,7
13,4,Americana,Dodgers,Piratas,Dodgers,8,2
13,4,Americana,Cardenales,Astros,Cardenales,10,5
13,4,Americana,Bravos,Yankees,Bravos,8,4
14,4,Americana,Bravos,Piratas,Bravos,10,3
14,4,Americana,Dodgers,Astros,Dodgers,4,1
14,4,Americana,Cardenales,Yankees,Yankees,3,4
15,4,Americana,Dodgers,Astros,Dodgers,6,5
15,4,Americana,Cardenales,Piratas,Piratas,1,10
15,4,Americana,Bravos,Yankees,Bravos,8,7
17,4,Nacional,Bravos,Yankees,Yankees,9,10
17,4,Nacional,Cardenales,Astros,Cardenales,6,0
17,4,Nacional,Dodgers,Piratas,Piratas,4,7
18,4,Nacional,Cardenales,Piratas,Piratas,0,10
18,4,Nacional,Bravos,Astros,Astros,6,8
18,4,Nacional,Dodgers,Yankees,Yankees,2,6
19,4,Nacional,Bravos,Piratas,Piratas,6,10
19,4,Nacional,Cardenales,Astros,Cardenales,8,2
19,4,Nacional,Dodgers,Yankees,Dodgers,9,8
21,4,Americana,Bravos,Piratas,Bravos,10,1
21,4,Americana,Cardenales,Astros,Cardenales,1,0
21,4,Americana,Dodgers,Yankees,Yankees,0,7
22,4,Americana,Dodgers,Piratas,Dodgers,10,5
22,4,Americana,Cardenales,Yankees,Yankees,0,6
22,4,Americana,Bravos,Astros,Astros,1,5
23,4,Americana,Cardenales,Yankees,Cardenales,10,1
23,4,Americana,Dodgers,Piratas,Piratas,4,8
23,4,Americana,Bravos,Astros,Astros,7,8
25,4,Nacional,Cardenales,Astros,Astros,3,5
25,4,Nacional,Bravos,Yankees,Yankees,4,7
25,4,Nacional,Dodgers,Piratas,Dodgers,8,4
26,4,Nacional,Cardenales,Piratas,Cardenales,10,0
26,4,Nacional,Bravos,Yankees,Yankees,3,8
26,4,Nacional,Dodgers,Astros,Astros,2,7
27,4,Nacional,Bravos,Piratas,Piratas,6,7
27,4,Nacional,Cardenales,Yankees,Cardenales,8,3
27,4,Nacional,Dodgers,Astros,Astros,0,7
29,4,Americana,Cardenales,Yankees,Cardenales,2,0
29,4,Americana,Bravos,Piratas,Bravos,2,0
29,4,Americana,Dodgers,Astros,Astros,2,3
30,4,Americana,Cardenales,Piratas,Piratas,7,10
30,4,Americana,Dodgers,Yankees,Dodgers,6,4
30,4,Americana,Bravos,Astros,Astros,0,9
1,5,Nacional,Bravos,Astros,Astros,3,4
1,5,Nacional,Dodgers,Yankees,Yankees,1,2
1,5,Nacional,Cardenales,Piratas,Piratas,4,7
3,5,Americana,Dodgers,Piratas,Dodgers,7,0
3,5,Americana,Bravos,Astros,Astros,2,4
3,5,Americana,Cardenales,Yankees,Cardenales,7,0
4,5,Americana,Dodgers,Astros,Astros,3,5
4,5,Americana,Cardenales,Piratas,Piratas,5,7
4,5,Americana,Bravos,Yankees,Bravos,2,0
5,5,Americana,Dodgers,Piratas,Dodgers,6,0
5,5,Americana,Bravos,Astros,Astros,2,6
5,5,Americana,Cardenales,Yankees,Yankees,0,5
7,5,Nacional,Cardenales,Piratas,Piratas,0,10
7,5,Nacional,Dodgers,Astros,Dodgers,9,6
7,5,Nacional,Bravos,Yankees,Bravos,5,0
8,5,Nacional,Dodgers,Piratas,Piratas,6,9
8,5,Nacional,Bravos,Astros,Astros,4,8
8,5,Nacional,Cardenales,Yankees,Yankees,3,6
9,5,Nacional,Cardenales,Yankees,Yankees,0,10
9,5,Nacional,Dodgers,Astros,Dodgers,10,4
9,5,Nacional,Bravos,Piratas,Piratas,8,10
11,5,Americana,Dodgers,Astros,Astros,3,5
11,5,Americana,Cardenales,Yankees,Cardenales,5,3
11,5,Americana,Bravos,Piratas,Piratas,0,9
12,5,Americana,Bravos,Piratas,Piratas,5,8
12,5,Americana,Dodgers,Yankees,Dodgers,9,4
12,5,Americana,Cardenales,Astros,Astros,3,6
13,5,Americana,Cardenales,Piratas,Cardenales,10,7
13,5,Americana,Dodgers,Yankees,Yankees,3,7
13,5,Americana,Bravos,Astros,Bravos,10,6
15,5,Nacional,Cardenales,Astros,Cardenales,7,3
15,5,Nacional,Bravos,Piratas,Piratas,4,8
15,5,Nacional,Dodgers,Yankees,Yankees,1,6
16,5,Nacional,Bravos,Piratas,Bravos,7,6
16,5,Nacional,Dodgers,Astros,Dodgers,6,3
16,5,Nacional,Cardenales,Yankees,Cardenales,4,3
17,5,Nacional,Dodgers,Yankees,Dodgers,10,1
17,5,Nacional,Cardenales,Astros,Cardenales,10,9
17,5,Nacional,Bravos,Piratas,Piratas,2,6
19,5,Americana,Dodgers,Astros,Dodgers,10,1
19,5,Americana,Bravos,Yankees,Yankees,4,6
19,5,Americana,Cardenales,Piratas,Piratas,4,7
20,5,Americana,Dodgers,Yankees,Dodgers,10,3
20,5,Americana,Bravos,Piratas,Piratas,2,10
20,5,Americana,Cardenales,Astros,Astros,9,10
21,5,Americana,Dodgers,Astros,Dodgers,9,7
21,5,Americana,Bravos,Piratas,Piratas,0,10
21,5,Americana,Cardenales,Yankees,Cardenales,3,1
23,5,Nacional,Cardenales,Yankees,Cardenales,8,4
23,5,Nacional,Bravos,Piratas,Bravos,6,5
23,5,Nacional,Dodgers,Astros,Dodgers,5,0
24,5,Nacional,Cardenales,Yankees,Cardenales,8,3
24,5,Nacional,Bravos,Astros,Bravos,9,3
24,5,Nacional,Dodgers,Piratas,Piratas,1,10
25,5,Nacional,Cardenales,Piratas,Cardenales,5,3
25,5,Nacional,Dodgers,Yankees,Yankees,5,7
25,5,Nacional,Bravos,Astros,Astros,9,10
